epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.504,2.32314,3.26058,1.27459,0.00504,0.57231,0.00772,0.00296,2.14657,3.81193,1.15234,0.000656566,0.000656566,0.000656566
2,40.3515,2.19033,2.03489,1.22765,0.65242,0.52,0.52719,0.19184,2.1714,1.60651,1.21612,0.0012359,0.0012359,0.0012359
3,59.0262,2.1903,1.68952,1.25115,0.66385,0.55077,0.5087,0.1714,2.20571,1.71826,1.27198,0.00172723,0.00172723,0.00172723
4,76.416,2.17057,1.48557,1.23696,0.65735,0.60308,0.57831,0.23076,2.02499,1.86082,1.1737,0.001604,0.001604,0.001604
5,94.0032,2.14709,1.33585,1.22139,0.72095,0.56441,0.58316,0.21625,2.08941,1.3604,1.20687,0.001472,0.001472,0.001472
6,113.594,2.08133,1.31314,1.26586,0.63068,0.59374,0.54799,0.20861,2.13344,1.19964,1.21102,0.00134,0.00134,0.00134
7,129.898,2.06577,1.26194,1.25801,0.66679,0.59385,0.6004,0.23141,2.00916,1.21196,1.15675,0.001208,0.001208,0.001208
8,146.755,2.05468,1.21813,1.25573,0.74249,0.62102,0.65913,0.26738,1.99044,1.07776,1.1424,0.001076,0.001076,0.001076
9,163.481,2.04079,1.16399,1.24969,0.73511,0.60628,0.62531,0.22135,2.16224,1.12735,1.20051,0.000944,0.000944,0.000944
10,179.944,2.02387,1.10843,1.22702,0.81029,0.65846,0.69414,0.28674,1.98919,1.02699,1.15797,0.000812,0.000812,0.000812
11,196.412,1.96039,1.08573,1.20147,0.68707,0.65231,0.65483,0.26215,2.01614,1.10284,1.12024,0.00068,0.00068,0.00068
12,213.898,1.97541,1.06803,1.18405,0.7595,0.64615,0.68717,0.28961,1.96199,1.00859,1.11309,0.000548,0.000548,0.000548
13,230.234,1.93713,1.01041,1.18211,0.78589,0.67077,0.72775,0.3007,1.95435,0.98873,1.11073,0.000416,0.000416,0.000416
14,246.671,1.91882,0.9917,1.16708,0.81655,0.6574,0.72899,0.30026,1.96293,0.96808,1.11443,0.000284,0.000284,0.000284
15,263.276,1.89837,0.99097,1.15894,0.77932,0.66284,0.7395,0.30088,2.00099,0.98879,1.1208,0.000152,0.000152,0.000152
