epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4812,2.48557,2.25694,1.41787,0,0,0,0,nan,nan,nan,0.00328283,0.00328283,0.0704545
2,67.9033,2.44352,1.4621,1.4165,3e-05,0.00308,1e-05,1e-05,2.40075,inf,2.89083,0.00645241,0.00645241,0.0402908
3,88.2061,2.38835,1.43253,1.41557,0.26337,0.28615,0.15497,0.05415,2.38501,13.8616,1.51952,0.00945699,0.00945699,0.00996205
4,107.238,2.38035,1.43662,1.40657,0.00012,0.00615,6e-05,2e-05,5.41046,382.166,12.8835,0.0092575,0.0092575,0.0092575
5,127.087,2.28846,1.33901,1.35564,0.04672,0.57538,0.03484,0.01174,2.3141,146.84,1.31073,0.00901,0.00901,0.00901
6,146.219,2.27392,1.26159,1.36424,0.51644,0.46769,0.45155,0.16391,2.16731,1.39055,1.31053,0.0087625,0.0087625,0.0087625
7,165.81,2.2161,1.26289,1.31948,0.01378,0.63246,0.0109,0.00446,2.09146,140.429,1.2293,0.008515,0.008515,0.008515
8,185.018,2.19771,1.22128,1.29869,0.04286,0.60308,0.03373,0.01166,2.26165,17.3582,1.24108,0.0082675,0.0082675,0.0082675
9,203.898,2.17072,1.18879,1.29393,0.61721,0.51692,0.50211,0.16405,2.22722,1.58241,1.30415,0.00802,0.00802,0.00802
10,223.789,2.16845,1.17871,1.30246,0.6039,0.50663,0.51923,0.17929,2.29913,1.42274,1.26828,0.0077725,0.0077725,0.0077725
11,242.652,2.17903,1.1665,1.30979,0.73267,0.52923,0.57878,0.22112,2.0998,1.20782,1.22882,0.007525,0.007525,0.007525
12,262.574,2.14258,1.17068,1.28228,0.65802,0.52615,0.5573,0.22666,2.03915,1.23262,1.22566,0.0072775,0.0072775,0.0072775
13,281.424,2.20215,1.18627,1.30835,0.67347,0.59077,0.57304,0.19975,2.2514,1.25624,1.29686,0.00703,0.00703,0.00703
14,301.516,2.13204,1.14648,1.25731,0.66545,0.63651,0.61218,0.24268,2.0087,1.22311,1.20864,0.0067825,0.0067825,0.0067825
15,320.541,2.19026,1.1227,1.31099,0.74059,0.64308,0.6599,0.2437,2.16849,1.10214,1.26111,0.006535,0.006535,0.006535
16,340.325,2.14638,1.11176,1.25626,0.69808,0.64,0.65495,0.2618,2.04104,1.08712,1.21068,0.0062875,0.0062875,0.0062875
17,359.401,2.10294,1.08225,1.25542,0.64284,0.63135,0.57979,0.23278,2.08911,1.15742,1.21809,0.00604,0.00604,0.00604
18,378.677,2.11006,1.08779,1.24379,0.7254,0.65846,0.66299,0.26941,2.01653,1.03299,1.19329,0.0057925,0.0057925,0.0057925
19,398.359,2.09584,1.05904,1.25022,0.7478,0.61846,0.65551,0.24745,2.0738,1.04175,1.19899,0.005545,0.005545,0.005545
20,417.155,2.11584,1.10471,1.25621,0.72493,0.68308,0.68969,0.26188,2.00821,1.04708,1.18049,0.0052975,0.0052975,0.0052975
21,436.993,2.08789,1.0831,1.24518,0.75386,0.64615,0.66553,0.26359,2.00918,1.02361,1.18492,0.00505,0.00505,0.00505
22,455.591,2.05832,1.0354,1.23606,0.76861,0.63077,0.64626,0.24823,2.07796,1.00588,1.21859,0.0048025,0.0048025,0.0048025
23,475.706,2.05697,1.03976,1.24213,0.75272,0.61231,0.66975,0.27786,2.03,1.02111,1.18964,0.004555,0.004555,0.004555
24,494.371,2.07185,1.02585,1.25298,0.75134,0.67868,0.68744,0.27537,2.02227,1.01994,1.20391,0.0043075,0.0043075,0.0043075
25,514.438,2.04376,1.02618,1.24259,0.80564,0.64923,0.69138,0.27451,1.9966,0.98296,1.17641,0.00406,0.00406,0.00406
26,533.375,2.01872,1.05557,1.22728,0.76441,0.64,0.68653,0.26251,2.01694,1.0099,1.19062,0.0038125,0.0038125,0.0038125
27,552.734,2.01678,1.02846,1.23112,0.78264,0.67385,0.68998,0.28239,1.98486,0.98144,1.18061,0.003565,0.003565,0.003565
28,572.274,2.04628,1.01455,1.23788,0.77078,0.66218,0.66836,0.25746,2.14251,0.97318,1.23356,0.0033175,0.0033175,0.0033175
29,591.876,1.97492,0.99046,1.21973,0.74706,0.68157,0.70625,0.29165,1.94943,0.97489,1.16081,0.00307,0.00307,0.00307
30,611.299,1.99454,1.00127,1.2019,0.74861,0.6872,0.69602,0.29234,1.92563,0.97683,1.15561,0.0028225,0.0028225,0.0028225
31,632.718,1.98749,1.0021,1.26938,0.80702,0.70769,0.72661,0.30655,1.92043,0.9449,1.15719,0.002575,0.002575,0.002575
32,650.918,1.99046,1.00223,1.25745,0.77659,0.70154,0.72238,0.29303,1.95148,0.9425,1.16569,0.0023275,0.0023275,0.0023275
33,668.766,1.94929,0.97434,1.2462,0.7406,0.64615,0.69961,0.27469,2.01095,1.01717,1.18058,0.00208,0.00208,0.00208
34,687.813,1.97041,0.98144,1.25909,0.80739,0.67077,0.70913,0.28904,1.98846,0.96053,1.17201,0.0018325,0.0018325,0.0018325
35,705.28,1.93888,0.97115,1.23817,0.80791,0.68589,0.70012,0.29078,1.95216,0.93088,1.17185,0.001585,0.001585,0.001585
36,723.041,1.96712,0.9727,1.24329,0.76758,0.68085,0.68977,0.28792,1.99666,0.96598,1.16679,0.0013375,0.0013375,0.0013375
37,741.966,1.90338,0.94707,1.22827,0.77407,0.68615,0.71921,0.30027,1.97552,0.94992,1.16419,0.00109,0.00109,0.00109
38,759.723,1.92084,0.95432,1.23149,0.77575,0.68122,0.71261,0.2847,2.01031,0.96142,1.18311,0.0008425,0.0008425,0.0008425
39,777.823,1.91083,0.94145,1.23711,0.79463,0.69051,0.70604,0.28967,2.00137,0.92956,1.1793,0.000595,0.000595,0.000595
40,796.514,1.93179,0.93766,1.2341,0.80779,0.70154,0.72811,0.30286,1.9621,0.92652,1.1595,0.0003475,0.0003475,0.0003475
